id	split	content_class	variant	relative_path	url
1000	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1000_general_red-convertible-car_mission-hills-san-diego-california_note9_iso50-f2p4_20190514-100811_4032x3024.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1000_general_red-convertible-car_mission-hills-san-diego-california_note9_iso50-f2p4_20190514-100811_4032x3024.sdr.png
1001	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1001_general_oceanfront-resort-view_sheraton-waikiki-east-honolulu_s21u_iso32-f1p8_20210602-055442_4000x3000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1001_general_oceanfront-resort-view_sheraton-waikiki-east-honolulu_s21u_iso32-f1p8_20210602-055442_4000x3000.sdr.png
1002	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1002_general_oceanfront-hotel-building_ka-anapali-beach-kaanapali_s21u_iso640-f1p8_20210608-052615_4000x3000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1002_general_oceanfront-hotel-building_ka-anapali-beach-kaanapali_s21u_iso640-f1p8_20210608-052615_4000x3000.sdr.png
1005	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1005_general_la-pedrera-rooftop-terrace_l-eixample-barcelona-spain_s21u_iso50-f2p2_20220304-165729_4000x3000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1005_general_la-pedrera-rooftop-terrace_l-eixample-barcelona-spain_s21u_iso50-f2p2_20220304-165729_4000x3000.sdr.png
1006	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1006_general_church-steeple-among-trees_s21u_iso50-f1p8_20220304-182325_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1006_general_church-steeple-among-trees_s21u_iso50-f1p8_20220304-182325_3000x4000.sdr.png
1007	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1007_general_street-building-with-trees_shinjuku-gyoen-national-garden-shinjuku_s23u_iso10-f1p7_20230702-090345_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1007_general_street-building-with-trees_shinjuku-gyoen-national-garden-shinjuku_s23u_iso10-f1p7_20230702-090345_3000x4000.sdr.png
1008	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1008_general_city-view-through-window_tokyo-skytree-sumida_s23u_iso50-f2p2_20230706-142333_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1008_general_city-view-through-window_tokyo-skytree-sumida_s23u_iso50-f2p2_20230706-142333_3000x4000.sdr.png
1009	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1009_general_aerial-cityscape_tokyo-skytree-sumida_s23u_iso50-f2p4_20230706-144950_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1009_general_aerial-cityscape_tokyo-skytree-sumida_s23u_iso50-f2p4_20230706-144950_3000x4000.sdr.png
1010	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1010_general_floating-dock-on-lake_hakone-ekiden-museum-hakone_s23u_iso80-f4p9_20230707-172043_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1010_general_floating-dock-on-lake_hakone-ekiden-museum-hakone_s23u_iso80-f4p9_20230707-172043_3000x4000.sdr.png
1011	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1011_general_city-street-at-night_s23u_iso80-f1p7_20230711-19230_2252x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1011_general_city-street-at-night_s23u_iso80-f1p7_20230711-19230_2252x4000.sdr.png
1012	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1012_general_spiky-crystal-display_seattle-center-seattle_s23u_iso1000-f1p7_20230727-173012_2190x3131.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1012_general_spiky-crystal-display_seattle-center-seattle_s23u_iso1000-f1p7_20230727-173012_2190x3131.sdr.png
1013	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1013_general_colorful-glass-sculpture_seattle-center-seattle_s23u_iso800-f1p7_20230727-173318_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1013_general_colorful-glass-sculpture_seattle-center-seattle_s23u_iso800-f1p7_20230727-173318_3000x4000.sdr.png
1014	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1014_general_colorful-glass-spheres_seattle-center-seattle_s23u_iso500-f1p7_20230727-173515_4000x3000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1014_general_colorful-glass-spheres_seattle-center-seattle_s23u_iso500-f1p7_20230727-173515_4000x3000.sdr.png
1015	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1015_general_colorful-glass-sculpture_seattle-center-seattle_s23u_iso400-f2p4_20230727-173537_4000x3000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1015_general_colorful-glass-sculpture_seattle-center-seattle_s23u_iso400-f2p4_20230727-173537_4000x3000.sdr.png
1016	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1016_general_hanging-glass-lamp_seattle-center-seattle_s23u_iso250-f1p7_20230727-173815_2252x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1016_general_hanging-glass-lamp_seattle-center-seattle_s23u_iso250-f1p7_20230727-173815_2252x4000.sdr.png
1017	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1017_general_abstract-sculpture-installation_seattle-center-seattle_s23u_iso500-f1p7_20230727-173843_2252x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1017_general_abstract-sculpture-installation_seattle-center-seattle_s23u_iso500-f1p7_20230727-173843_2252x4000.sdr.png
1019	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1019_general_tower-against-blue-sky_seattle-center-seattle_s23u_iso10-f1p7_20230727-174406_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1019_general_tower-against-blue-sky_seattle-center-seattle_s23u_iso10-f1p7_20230727-174406_3000x4000.sdr.png
1020	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1020_general_space-needle-sculpture-garden_seattle-center-seattle_s23u_iso50-f2p2_20230727-174418_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1020_general_space-needle-sculpture-garden_seattle-center-seattle_s23u_iso50-f2p2_20230727-174418_3000x4000.sdr.png
1021	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1021_general_sunset-cityscape-waterfront_seattle-center-seattle_s23u_iso50-f2p2_20230729-204147_4000x3000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1021_general_sunset-cityscape-waterfront_seattle-center-seattle_s23u_iso50-f2p2_20230729-204147_4000x3000.sdr.png
1022	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1022_general_thatched-roof-fence_azulik-city-arts-francisco-uh-may_s23u_iso50-f2p2_20230917-141034_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1022_general_thatched-roof-fence_azulik-city-arts-francisco-uh-may_s23u_iso50-f2p2_20230917-141034_3000x4000.sdr.png
1023	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1023_general_outdoor-lounge-sofa_azulik-city-arts-francisco-uh-may_s23u_iso12-f1p7_20230917-152324_4000x3000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1023_general_outdoor-lounge-sofa_azulik-city-arts-francisco-uh-may_s23u_iso12-f1p7_20230917-152324_4000x3000.sdr.png
1024	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1024_general_outdoor-dining-table_azulik-city-arts-francisco-uh-may_s23u_iso100-f2p2_20230917-152718_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1024_general_outdoor-dining-table_azulik-city-arts-francisco-uh-may_s23u_iso100-f2p2_20230917-152718_3000x4000.sdr.png
1025	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1025_general_restaurant-table-setting_placa-pedro-infante-valladolid_s23u_iso2000-f2p2_20230917-193017_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1025_general_restaurant-table-setting_placa-pedro-infante-valladolid_s23u_iso2000-f2p2_20230917-193017_3000x4000.sdr.png
1026	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1026_general_two-turtles-on-rock_hotel-zentik-project-valladolid_s23u_iso50-f4p9_20230918-105440_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1026_general_two-turtles-on-rock_hotel-zentik-project-valladolid_s23u_iso50-f4p9_20230918-105440_3000x4000.sdr.png
1027	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1027_general_turtle-on-rock_hotel-zentik-project-valladolid_s23u_iso50-f4p9_20230918-105522_2252x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1027_general_turtle-on-rock_hotel-zentik-project-valladolid_s23u_iso50-f4p9_20230918-105522_2252x4000.sdr.png
1028	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1028_general_hands-holding-small-turtle_hotel-zentik-project-valladolid_s23u_iso25-f1p7_20230918-105607_2252x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1028_general_hands-holding-small-turtle_hotel-zentik-project-valladolid_s23u_iso25-f1p7_20230918-105607_2252x4000.sdr.png
1029	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1029_general_decorative-planter-bed_hotel-zentik-project-valladolid_s23u_iso80-f1p7_20230918-105926_4000x3000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1029_general_decorative-planter-bed_hotel-zentik-project-valladolid_s23u_iso80-f1p7_20230918-105926_4000x3000.sdr.png
1032	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1032_general_colorful-wall-mural_hotel-zentik-project-valladolid_s23u_iso20-f1p7_20230918-110521_4000x3000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1032_general_colorful-wall-mural_hotel-zentik-project-valladolid_s23u_iso20-f1p7_20230918-110521_4000x3000.sdr.png
1033	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1033_general_stone-tunnel-lights_placa-pedro-infante-valladolid_s23u_iso800-f1p7_20230918-111620_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1033_general_stone-tunnel-lights_placa-pedro-infante-valladolid_s23u_iso800-f1p7_20230918-111620_3000x4000.sdr.png
1034	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1034_general_rainbow-painted-staircase_placa-pedro-infante-valladolid_s23u_iso50-f1p7_20230918-111645_2574x3432.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1034_general_rainbow-painted-staircase_placa-pedro-infante-valladolid_s23u_iso50-f1p7_20230918-111645_2574x3432.sdr.png
1035	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1035_general_portrait-illustration_placa-pedro-infante-valladolid_s23u_iso32-f1p7_20230918-111959_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1035_general_portrait-illustration_placa-pedro-infante-valladolid_s23u_iso32-f1p7_20230918-111959_3000x4000.sdr.png
1036	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1036_general_stone-temple-carvings_ek-balam_s23u_iso16-f1p7_20230918-152107_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1036_general_stone-temple-carvings_ek-balam_s23u_iso16-f1p7_20230918-152107_3000x4000.sdr.png
1038	train	1000-lilith-photos-general	sdr	1000-lilith-photos-general/1038_general_stone-building-entrance_ek-balam_s23u_iso20-f1p7_20230918-152619_3000x4000.sdr.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1038_general_stone-building-entrance_ek-balam_s23u_iso20-f1p7_20230918-152619_3000x4000.sdr.png
